work_id,category,subject,citations,n_nodes,n_edges,density,avg_clustering,avg_shortest_path_length,mean_edge_weight,num_cliques,max_clique_size
82808912,TOP,4.0,162,8032,9484,0.00029405476090904717,0.01718935439611341,3.874539663534878,1.0050611556305356,9095,5
490030164,TOP,5.0,8,149,278,0.025213132595682933,0.2620465676011661,3.0410847088699438,1.0035971223021583,176,6
377556044,TOP,5.0,14,699,961,0.003939315682247664,0.09982471811617831,3.1839590737484165,1,823,5
179359735,TOP,4.0,21,1731,2664,0.0017791847406858276,0.11447263575250688,3.1587775451391322,1.0037537537537538,2275,5
513232820,TOP,5.0,86,4198,4826,0.0005478175102500107,0.021084007840219944,3.827671549689012,1.0045586406962288,4656,4
442402763,TOP,3.0,6,301,318,0.007043189368770764,0.02538466501726947,2.5209302325581397,1.009433962264151,304,3
436799774,TOP,2.0,11,454,545,0.005299958183816164,0.01176068805948375,3.490552459861326,1.001834862385321,526,3
242450576,TOP,1.0,105,4570,6827,0.0006539168681721026,0.06508158942751464,3.7929732911309353,1.0021971583418778,5981,7
16123137,TOP,2.0,23,855,1372,0.003758028952161825,0.14484044811508995,2.935445170302806,1.000728862973761,1080,6
339296477,TOP,1.0,55,1671,1896,0.0013588621679441835,0.017925630592724385,3.825739544250816,1.0068565400843883,1819,4
507957253,TOP,1.0,31,4733,8288,0.0007401137924955962,0.18505783270702836,3.0136195940125794,1.0080839768339769,7029,5
482068110,TOP,1.0,13,5897,5931,0.00034116880717353004,0.0,2.2890693218661653,1.0028662957342775,5931,2
231753235,TOP,3.0,7,178,191,0.012124674665143147,0.006159415414294184,3.5430711610486894,1,186,3
67731619,TOP,3.0,153,9309,11230,0.00025920916138888657,0.02025924745303148,3.9188407344588874,1.0035618878005343,10890,4
260294514,TOP,1.0,37,4660,5148,0.0004742309637445454,0.014989888026719233,3.4053061728326823,1.0073815073815073,4956,5
100730849,TOP,4.0,28,2152,2570,0.00111040252739713,0.03676143331943002,3.754820529571272,1.001556420233463,2396,5
516309052,TOP,5.0,11,418,491,0.00563377049556527,0.01966549968296083,3.5128452262113754,1.0040733197556009,470,3
498912904,TOP,1.0,65,4925,5856,0.0004829551311920893,0.0180369121901045,3.8706327652397663,1.008367486338798,5616,6
4606330,TOP,4.0,26,1354,1749,0.0019094282523327449,0.05583108725422129,3.6898319943317603,1.0051457975986278,1606,4
334627206,TOP,4.0,57,1800,2154,0.0013303687233648324,0.0212336416618715,3.796441850410722,1.002321262766945,2065,4
498389496,TOP,5.0,22,273,303,0.008160956690368456,0.015830581804112915,3.635665804783452,1,285,4
223973616,TOP,4.0,60,2351,2779,0.0010060001629003503,0.016348522963831682,3.840573771233608,1.0057574667146456,2671,4
199528786,TOP,1.0,27,439,710,0.007384986634214331,0.07695652125374945,3.417938236548403,1.004225352112676,603,5
314592189,TOP,1.0,324,20827,36299,0.0001673755724650118,0.06991743824618797,3.4175084587281805,1.0085952781068348,34125,12
266635523,TOP,4.0,33,972,2116,0.004483943836272478,0.13664389065402918,3.274660631566456,1.0009451795841209,1678,6
463880857,TOP,4.0,57,3000,3258,0.0007242414138046015,0.020061222016126624,3.878758697343559,1.0027624309392265,3129,5
235815190,TOP,1.0,17,29854,45507,0.00010212161922084389,0.1189780684406638,3.0702032801440757,1.0058013052936912,39434,5
442172207,TOP,1.0,28,5316,8813,0.0006238289492591279,0.06489251160530293,3.532397271376565,1.0039714058776807,8161,4
202869247,TOP,2.0,26,2582,2720,0.0008163091362699054,7.181500179725592e-05,3.7779840225493393,1.0018382352941178,2714,3
6245805,TOP,2.0,45,5997,6758,0.0003758828491408257,0.01030165990933199,3.112661345126644,1.0097662030186445,6563,5
215220897,TOP,1.0,17,588,642,0.003720057017696346,0.011267946549067518,3.6895432789810982,1,627,3
479711359,TOP,5.0,19,533,616,0.004344820776142984,0.005054475602876434,3.629138512322081,1.0064935064935066,602,3
61375347,TOP,1.0,32,8280,9859,0.0002876435519004197,0.015333481179619338,3.8658334369071854,1.0055786590932143,9623,4
387829618,TOP,2.0,108,3519,6162,0.000995489280073203,0.054262134750343735,3.6916553539213184,1.0027588445309965,5411,8
297766035,TOP,5.0,18,1791,2524,0.0015746017486563794,0.06075779531241165,3.7079226049552543,1.006339144215531,2254,7
431477367,TOP,4.0,17,289,355,0.00853037293348712,0.02710241378622942,3.607242406766628,1,336,3
253149315,TOP,1.0,15,1036,1329,0.0024788763919198703,0.07812409851557132,3.6380430119560554,1.0045146726862302,1173,5
428101598,TOP,3.0,18,5439,5698,0.0003852957144608487,0.01019084498160035,3.510573081055927,1.0021060021060022,5622,3
455262546,TOP,1.0,15,1002,1196,0.0023848407081940018,0.04284454896009774,3.567899166701562,1.0008361204013378,1084,6
46797012,TOP,2.0,67,1256,1921,0.0024373842210774735,0.06640288400721538,3.6092597761818968,1.0078084331077564,1661,5
328812102,TOP,2.0,8,152,164,0.014290693621470896,0.0,2.8539560822586267,1,164,2
32590087,TOP,5.0,45,1143,1281,0.001962758157857238,0.015297269784702873,3.7631712410729743,1.005464480874317,1232,4
286458058,TOP,4.0,47,2400,2817,0.0009785327219674865,0.025491416902136674,3.809546686119216,1.007809726659567,2687,4
461654588,TOP,1.0,211,25477,33048,0.0001018346676454233,0.04814733896652416,3.635840211471976,1.0036916000968288,30849,5
194117690,TOP,1.0,200,4637,8232,0.0007658696053036284,0.06668310552762231,3.604932509136568,1.0027939747327503,7487,7
385532914,TOP,5.0,40,2462,4134,0.0013645856680214597,0.061074028554812074,3.637355252086902,1.003870343492985,3672,7
262541325,TOP,4.0,23,439,521,0.0054191239949657275,0.027005637998672793,3.6928573657440635,1.0076775431861804,490,4
66700762,TOP,1.0,16,3430,5855,0.0009956238463389355,0.043047102094494416,2.224300193768296,1.0034158838599487,5602,5
261835101,TOP,2.0,33,1497,1814,0.0016199957847959734,0.02099536029383619,3.8078081296282402,1.0049614112458656,1730,3
175375107,TOP,1.0,27,513,1052,0.008010477582846004,0.15824988587869845,3.2340551900584797,1.0047528517110267,851,5
48251643,OTHER,1.0,20,520,591,0.0043797243219208535,0.01764795984196229,3.69322661923818,1,569,3
63145978,OTHER,1.0,60,3086,3830,0.0008045956486711042,0.03569296925589476,3.79955337588797,1.0031331592689294,3588,5
95750502,OTHER,1.0,16,670,708,0.003159092430225554,0.004420883964384244,3.6644579791624836,1.0084745762711864,696,3
319521006,OTHER,4.0,21,1829,2137,0.0012783348268176342,0.039516025443690844,3.4714860148853925,1.0042115114646701,2008,4
478302170,OTHER,4.0,47,5710,9779,0.0005999682806420807,0.06662005071470417,3.720506871658386,1.0048062174046426,8884,7
123355535,OTHER,1.0,12,6239,9058,0.0004654809971160014,0.036224209643641425,3.7555495556115925,1.005078383749172,8436,6
146918253,OTHER,2.0,13,135,167,0.018463239358761745,0.1217426799779741,3.42277501381979,1,140,4
66766395,OTHER,1.0,17,410,513,0.006118432822470034,0.021732339689477707,3.677750611246944,1.0019493177387915,478,5
76221037,OTHER,1.0,11,468,648,0.005929830340965244,0.055866326550815235,3.502708687933527,1.0061728395061729,591,4
110823800,OTHER,1.0,66,1791,2365,0.0014754093247117026,0.043816552958788155,3.6637482883068353,1.0076109936575053,2111,6
17386318,OTHER,4.0,29,1484,1976,0.0017957334971546348,0.07409927009051041,2.9932941713180647,1.0045546558704452,1738,5
154784600,OTHER,1.0,83,4099,4434,0.0005279293560512027,0.012622984193639521,3.806494602654577,1.001578709968426,4331,4
483545101,OTHER,5.0,13,3106,3216,0.0006669341869095501,0.003380691922710602,3.040967510807092,1.0037313432835822,3188,3
174770086,OTHER,1.0,23,2735,3055,0.0008171191134993159,0.027039666896165385,3.536446588360533,1.0104746317512274,2929,4
134169554,OTHER,2.0,14,504,645,0.005088516519928051,0.08220704451410367,3.4736974975543564,1.0015503875968992,565,4
483545101,OTHER,5.0,13,3106,3216,0.0006669341869095501,0.003380691922710602,3.040967510807092,1.0037313432835822,3188,3
43958320,OTHER,4.0,17,600,657,0.003656093489148581,0.030262365719029728,3.6799666110183638,1.0091324200913243,625,4
181063002,OTHER,1.0,52,4663,6683,0.0006148423476323969,0.08082922227312733,3.5756983355096157,1.0059853359269788,5954,5
8865304,OTHER,1.0,29,4010,5296,0.0006588666771584384,0.042833409824440026,3.6353330940545865,1.0058534743202416,4980,5
445663226,OTHER,5.0,18,330,378,0.006963249516441006,0.01289302226922843,3.6409689601178963,1.007936507936508,352,4
293912978,OTHER,2.0,20,817,1012,0.0030359757121943024,0.03638672554825785,3.6506977944176446,1.0049407114624507,941,4
155390258,OTHER,4.0,33,1404,1593,0.0016174132353747464,0.015806234212994145,3.8372941174081587,1.0037664783427496,1515,4
483545101,OTHER,5.0,13,3106,3216,0.0006669341869095501,0.003380691922710602,3.040967510807092,1.0037313432835822,3188,3
459098186,OTHER,1.0,39,1072,1430,0.002491046169711666,0.023348556589085506,3.746153685354739,1.0055944055944055,1337,4
113625676,OTHER,1.0,54,5046,7313,0.000574535875495491,0.04191276947997709,3.7674490426431637,1.0051962258990839,7351,9
102287964,OTHER,3.0,38,1065,1131,0.0019961876522291643,0.0,3.8506724557873557,1.0035366931918657,1131,2
33312742,OTHER,2.0,49,957,1576,0.0034452153915434827,0.09579073595221425,3.5966037521368643,1.0145939086294415,1248,11
209633862,OTHER,5.0,11,260,295,0.008761508761508762,0.0,3.565043065043065,1.0033898305084745,295,2
208293648,OTHER,4.0,76,1937,2449,0.0013061221877573312,0.0465463311872006,3.7027001369588315,1.0036749693752551,2247,5
95750502,OTHER,1.0,16,670,708,0.003159092430225554,0.004420883964384244,3.6644579791624836,1.0084745762711864,696,3
85790510,OTHER,1.0,171,8458,16572,0.0004633625272416316,0.07045053428002945,3.7224104481036067,1.005853246439778,14982,7
324668312,OTHER,3.0,15,269,303,0.008405925761526939,0.05870366802192467,3.596626532763691,1.0066006600660067,280,3
341197887,OTHER,2.0,17,12862,15406,0.00018626731129229795,0.02850083377720153,3.4542921527211563,1.0064909775412176,14909,4
156125945,OTHER,5.0,14,398,425,0.005379542549017126,0.011547523518120542,3.5214991835753073,1.0023529411764707,409,4
297372038,OTHER,2.0,40,5991,6700,0.000373403733870143,0.013844896096321642,2.308111137212218,1.006865671641791,6477,6
234688097,OTHER,1.0,65,4226,5384,0.0006030854361700043,0.03680491298359373,3.8693789082518197,1.0033432392273403,5041,5
458264563,OTHER,4.0,107,3712,5083,0.0007379912004385843,0.04931897191652844,3.786898543705108,1.0027542789691126,4588,6
424790735,OTHER,1.0,19,541,558,0.0038200862600123228,0.0019519231115689918,3.7550489491339767,1.0017921146953406,555,3
338510773,OTHER,3.0,47,1390,1511,0.0015652272998016273,0.002819416211354011,3.618841773233681,1.0072799470549305,1473,4
113693525,OTHER,1.0,112,7328,12797,0.00047667954201812643,0.054508445613403435,3.778300989997515,1.0034383058529344,11567,8
392057112,OTHER,1.0,45,12039,14357,0.0001981294083258595,0.023017202024118406,3.7828618296401455,1.0049453228390333,13744,7
134169554,OTHER,2.0,14,504,645,0.005088516519928051,0.08220704451410367,3.4736974975543564,1.0015503875968992,565,4
487820175,OTHER,1.0,36,284,450,0.011197929627233365,0.00025709814442208804,3.586945702483452,1.0422222222222222,448,3
192352363,OTHER,4.0,16,1329,2104,0.0023842548523665768,0.07152072614196067,3.5221812758936424,1.0052281368821292,1889,5
314723970,OTHER,4.0,39,1540,2439,0.0020581757423862685,0.12851470917265262,3.5418149751483083,1.0082000820008201,2029,6
319521006,OTHER,4.0,21,1829,2137,0.0012783348268176342,0.039516025443690844,3.4714860148853925,1.0042115114646701,2008,4
363727097,OTHER,1.0,164,7430,12506,0.00045313671079489693,0.04619812778386889,3.7718764646278173,1.0063969294738526,11373,8
378621793,OTHER,4.0,42,765,890,0.0030455463162577423,0.015300572306503307,3.700201895767033,1.0044943820224719,851,4
189369996,OTHER,2.0,8,344,472,0.008000542409654893,0.06621851222688373,3.5046443826700115,1.0021186440677967,379,6
424790735,OTHER,1.0,19,541,558,0.0038200862600123228,0.0019519231115689918,3.7550489491339767,1.0017921146953406,555,3
